com.samsung.shealth.step_daily_trend,6188005,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
717df76d-981c-4a03-af4e-9626a1de8343.binning_data.json,2019-11-28 00:15:13.474,2019-11-27 03:55:22.716,com.sec.android.app.shealth,-2,17578,1.5461912,13561.378,667.7057,VfS0qUERdZ,com.sec.android.app.shealth,717df76d-981c-4a03-af4e-9626a1de8343,1574812800000,
be1b5beb-1c84-4c18-b2c8-18ad91f0ca51.binning_data.json,2019-10-18 00:15:19.138,2019-10-17 02:35:13.089,com.sec.android.app.shealth,18,11329,6.7777777,8562.65,486.411,AumAWJiKT9,com.sec.android.app.shealth,be1b5beb-1c84-4c18-b2c8-18ad91f0ca51,1571270400000,
ffe2b6ff-a134-447b-9dfb-e7874b82f97c.binning_data.json,2019-10-08 22:00:01.421,2019-10-08 22:00:01.421,com.sec.android.app.shealth,0,7229,3.787007,5669.316,264.34302,dNgkxZR9yp,com.sec.android.app.shealth,ffe2b6ff-a134-447b-9dfb-e7874b82f97c,1570492800000,
82f93668-07e9-4168-bd6f-1c8a7d4b7b95.binning_data.json,2019-09-28 22:16:14.673,2019-09-28 06:20:58.115,com.sec.android.app.shealth,18,5856,6.9444447,4286.2837,238.66837,AumAWJiKT9,com.sec.android.app.shealth,82f93668-07e9-4168-bd6f-1c8a7d4b7b95,1569628800000,
7f7b1ca4-a1b5-4671-b84a-630dd0b06c7f.binning_data.json,2019-07-10 23:03:58.689,2019-07-10 06:55:30.481,com.sec.android.app.shealth,-2,5349,1.4502783,4024.1533,216.08597,VfS0qUERdZ,com.sec.android.app.shealth,7f7b1ca4-a1b5-4671-b84a-630dd0b06c7f,1562716800000,
baab7fe1-5193-4556-a10d-ca927f364480.binning_data.json,2019-11-13 01:35:09.954,2019-11-12 05:55:16.236,com.sec.android.app.shealth,-2,9949,1.6473124,7835.4478,385.07697,VfS0qUERdZ,com.sec.android.app.shealth,baab7fe1-5193-4556-a10d-ca927f364480,1573516800000,
e8787be0-76bb-4a68-8dd6-1331b18d9ac3.binning_data.json,2019-10-28 23:00:02.250,2019-10-23 05:23:00.290,com.sec.android.app.shealth,-2,9267,1.4921062,7094.0723,343.34985,VfS0qUERdZ,com.sec.android.app.shealth,e8787be0-76bb-4a68-8dd6-1331b18d9ac3,1571788800000,
99895924-c75c-4ff0-95bb-36d985a791c5.binning_data.json,2019-11-11 07:58:59.441,2019-11-10 08:19:09.381,com.sec.android.app.shealth,-2,4154,1.5882059,3214.0376,161.23308,VfS0qUERdZ,com.sec.android.app.shealth,99895924-c75c-4ff0-95bb-36d985a791c5,1573344000000,
e6e7d8f0-508c-4777-9946-23d18a14ba4f.binning_data.json,2019-10-16 22:17:08.669,2019-10-16 04:41:42.999,com.sec.android.app.shealth,18,4646,6.472223,3363.827,198.601,AumAWJiKT9,com.sec.android.app.shealth,e6e7d8f0-508c-4777-9946-23d18a14ba4f,1571184000000,
d32a32da-35b1-42c4-a4d0-b6d772fc76f9.binning_data.json,2019-06-22 22:00:00.922,2019-06-22 22:00:00.922,com.sec.android.app.shealth,0,9006,6.945937,7641.3965,352.12738,dNgkxZR9yp,com.sec.android.app.shealth,d32a32da-35b1-42c4-a4d0-b6d772fc76f9,1561161600000,
