com.samsung.shealth.activity.day_summary,6188005,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
16832,10041695,,0,2019-07-03 06:45:33.432,2019-07-01 22:00:00.361,60,1184100,276,12970.908,618.44977,913af026-1b00-4962-bedf-ef35b18d1bf8.extra_data.json,dNgkxZR9yp,92289,com.sec.android.app.shealth,9949406,27060000,913af026-1b00-4962-bedf-ef35b18d1bf8,1562025600000,
2310,1409276,,0,2019-07-15 08:00:55.366,2019-07-12 22:44:34.013,60,180000,36,1848.3435,89.92321,e7cee267-3c15-4749-aa39-cdc2dee19b8a.extra_data.json,dNgkxZR9yp,36800,com.sec.android.app.shealth,1372476,18240000,e7cee267-3c15-4749-aa39-cdc2dee19b8a,1562976000000,
3766,2397901,,0,2019-07-19 00:43:33.438,2019-07-17 22:00:34.811,60,120000,65,2765.9802,147.77142,5ad28059-bfcd-438d-9232-6cf3cb23622a.extra_data.json,dNgkxZR9yp,129594,com.sec.android.app.shealth,2268307,11340000,5ad28059-bfcd-438d-9232-6cf3cb23622a,1563408000000,
12400,6926787,,0,2019-07-10 11:14:41.939,2019-07-08 22:00:00.364,60,728360,190,9651.235,455.9846,6384359f-ff06-46cf-8ad0-e7e65d44735e.extra_data.json,dNgkxZR9yp,89678,com.sec.android.app.shealth,6837109,26640000,6384359f-ff06-46cf-8ad0-e7e65d44735e,1562630400000,
10816,6402451,,0,2019-07-11 23:01:30.219,2019-07-10 22:00:00.506,60,890550,176,8170.5493,405.74753,9b9db546-6014-4fd2-a117-388de26c6700.extra_data.json,dNgkxZR9yp,184527,com.sec.android.app.shealth,6217924,15660000,9b9db546-6014-4fd2-a117-388de26c6700,1562803200000,
6946,4569865,,0,2019-07-19 21:45:59.748,2019-07-18 22:00:23.588,60,120000,126,5028.0366,266.36572,da6f22d9-9739-443a-86c7-6ce0e1808ba2.extra_data.json,dNgkxZR9yp,64400,com.sec.android.app.shealth,4505465,18360000,da6f22d9-9739-443a-86c7-6ce0e1808ba2,1563494400000,
9604,6124052,,0,2019-07-24 22:35:22.287,2019-07-23 22:00:13.902,60,676720,168,6607.598,359.4435,416c8ab0-b618-47e5-bbdc-5732880c33e7.extra_data.json,dNgkxZR9yp,12878,com.sec.android.app.shealth,6111174,32640000,416c8ab0-b618-47e5-bbdc-5732880c33e7,1563926400000,
11580,6747945,,0,2019-07-08 23:55:07.123,2019-07-07 22:00:01.576,60,769350,186,8962.166,434.11215,80a078bb-bfa8-4b81-b52e-4f68f5164d88.extra_data.json,dNgkxZR9yp,77002,com.sec.android.app.shealth,6670943,23940000,80a078bb-bfa8-4b81-b52e-4f68f5164d88,1562544000000,
5281,3096805,,0,2019-07-25 22:55:27.386,2019-07-24 22:00:01.325,60,1970900,85,3879.366,193.75468,f6fa74a5-6745-48db-8043-f6c83ef70a37.extra_data.json,dNgkxZR9yp,1600,com.sec.android.app.shealth,3095205,20940000,f6fa74a5-6745-48db-8043-f6c83ef70a37,1564012800000,
3431,2271869,,0,2019-07-18 02:00:07.265,2019-07-16 22:00:02.066,60,60000,61,2478.9167,126.74728,09146861-5993-46bc-a59b-c7b401f36e88.extra_data.json,dNgkxZR9yp,14694,com.sec.android.app.shealth,2257175,34560000,09146861-5993-46bc-a59b-c7b401f36e88,1563321600000,
1381,901369,,0,2019-07-16 00:20:23.336,2019-07-14 22:00:01.417,60,46690,23,1062.401,53.86666,1a823e29-373a-4352-8a82-759b6899aa51.extra_data.json,dNgkxZR9yp,29600,com.sec.android.app.shealth,871769,31440000,1a823e29-373a-4352-8a82-759b6899aa51,1563148800000,
4968,2615852,,0,2019-07-14 21:20:28.311,2019-07-13 22:00:00.282,60,480000,70,4318.7593,219.14124,5e33f014-3fc2-4af7-963a-b8be26d0c964.extra_data.json,dNgkxZR9yp,296653,com.sec.android.app.shealth,2319199,18600000,5e33f014-3fc2-4af7-963a-b8be26d0c964,1563062400000,
7141,4554731,,0,2019-07-30 22:55:33.011,2019-07-29 22:00:00.371,60,240000,125,4982.2686,266.82416,bcd715a6-4e21-460a-8d9d-862b49b52b96.extra_data.json,dNgkxZR9yp,24400,com.sec.android.app.shealth,4530331,23400000,bcd715a6-4e21-460a-8d9d-862b49b52b96,1564444800000,
8711,5414445,,0,2019-07-31 21:20:49.530,2019-07-30 22:00:00.385,60,300000,148,6295.0225,318.51306,a4d5c1da-0e4b-4460-8fba-80630e547a50.extra_data.json,dNgkxZR9yp,22800,com.sec.android.app.shealth,5391645,14640000,a4d5c1da-0e4b-4460-8fba-80630e547a50,1564531200000,
4096,2420563,,0,2019-07-24 00:00:01.537,2019-07-22 22:00:00.260,60,360000,65,3088.5742,153.26855,6e7a036d-5fc2-40e7-92d3-5f4c9db759c3.extra_data.json,dNgkxZR9yp,29002,com.sec.android.app.shealth,2391561,23940000,6e7a036d-5fc2-40e7-92d3-5f4c9db759c3,1563840000000,
