com.samsung.shealth.exercise.weather,6188005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,,2020-04-07 07:26:52.060,48.814697,,,Mostly Cloudy,,1,TWC,2020-04-07 07:32:47.443,2020-04-07 07:32:47.443,0,2.1923125,12.0,91,UTC+0300,AumAWJiKT9,fa0373e7-2a01-d216-fec4-b7a057ab95be,com.sec.android.app.shealth,,,,3,4849222e-7d30-cd05-fc06-8ae03741e934,
0.0,,2019-10-30 16:39:07.180,48.808773,,,Cloudy,,1,TWC,2019-10-30 16:58:18.805,2019-10-30 16:58:18.805,0,2.1872203,10.0,82,UTC+0200,AumAWJiKT9,ca6015ca-f3b1-2919-70b3-7c691d6a5bca,com.sec.android.app.shealth,,,,3,9088a3f5-1b68-f0b2-a667-6733f3394f73,
2.0,,2020-05-16 15:54:23.700,48.78256,,,Sunny,,1,TWC,2020-05-16 16:29:15.383,2020-05-16 16:29:15.383,0,2.1980374,18.0,41,UTC+0300,AumAWJiKT9,80f9887c-aa8f-2234-ec4b-935a83f0347c,com.sec.android.app.shealth,,,,1,cd82593d-7e99-362d-2ee7-f8e56267e11b,
0.0,,2019-11-08 19:37:49.990,48.812298,,,Clear,,1,TWC,2019-11-08 19:51:54.925,2019-11-08 19:51:54.925,0,2.190538,7.0,87,UTC+0200,AumAWJiKT9,aa307c43-3aa7-40bd-a628-1064d0e11fa4,com.sec.android.app.shealth,,,,18,d91d0e60-6b73-beed-9e16-558a4d4bba20,
0.0,,2020-05-22 17:44:54.450,48.785,,,Mostly Cloudy,,1,TWC,2020-05-22 18:39:32.537,2020-05-22 18:39:32.537,0,2.2135441,18.0,81,UTC+0300,AumAWJiKT9,215be629-d3d2-2341-4796-e798f303d4d6,com.sec.android.app.shealth,,,,3,df559ece-ac11-f39c-7547-f834f960aace,
1.0,,2019-11-13 09:54:37.910,47.216858,,,Sunny,,1,TWC,2019-11-13 10:15:47.513,2019-11-13 10:15:47.513,0,-1.5464379,9.0,79,UTC+0200,AumAWJiKT9,a3afe213-3f93-928a-c6f1-3e96c5a20b56,com.sec.android.app.shealth,,,,1,8b061110-f600-2796-73cd-080613e3c3d7,
,0,2020-05-30 08:55:57.672,48.81487,,ENE. 70,Sunny,0,1,TWC,2020-05-30 08:56:20.081,2020-05-30 08:56:20.081,1,2.1912987,22.0,38,UTC+0300,dNgkxZR9yp,4664051f-804d-4836-a092-022f5102cdd4,com.sec.android.app.shealth,km/h,0,11.0,1,f9c8c53e-1733-46e2-af69-ac50a5ebb3cf,
0.0,,2019-11-23 16:26:31.180,48.782734,,,Cloudy,,1,TWC,2019-11-23 16:43:43.683,2019-11-23 16:43:43.683,0,2.2211945,9.0,87,UTC+0200,AumAWJiKT9,ca239962-52b8-151e-ed49-ced26350da8b,com.sec.android.app.shealth,,,,3,56e50911-c305-db0a-a35e-1dd6db5ed652,
7.0,,2020-06-11 12:47:35.640,48.807056,,,Sunny,,1,TWC,2020-06-11 13:06:40.365,2020-06-11 13:06:40.365,0,2.185902,22.0,39,UTC+0300,AumAWJiKT9,fd433e9b-179f-8a51-86af-e37ab4cdf1be,com.sec.android.app.shealth,,,,1,dd52dec6-858c-7212-96ad-0c616a70cf52,
0.0,,2019-11-28 08:45:14.230,48.93329,,,Cloudy,,1,TWC,2019-11-28 09:23:15.505,2019-11-28 09:23:15.505,0,2.2553737,11.0,80,UTC+0200,AumAWJiKT9,c335f196-780a-23c1-edfa-16b1bf365572,com.sec.android.app.shealth,,,,3,18fd6070-0411-b210-ced9-18c461087853,
2.0,,2020-06-12 09:01:26.660,48.81703,,,Cloudy,,1,TWC,2020-06-12 09:23:42.180,2020-06-12 09:23:42.180,0,2.1953983,16.0,91,UTC+0300,AumAWJiKT9,cc5f5762-959a-55de-9a78-b5556eb93a83,com.sec.android.app.shealth,,,,3,4b23c27b-a39a-ed47-d5f8-286cb1929119,
0.0,,2019-12-09 15:17:00.180,48.87342,,,Partly Cloudy,,1,TWC,2019-12-09 15:47:03.517,2019-12-09 15:47:03.517,0,2.334058,10.0,59,UTC+0200,AumAWJiKT9,c620262b-3579-95e0-e5cd-35bbc75dd062,com.sec.android.app.shealth,,,,2,d15e44e5-1d22-66e2-e63e-46c0bff5a38e,
0.0,,2019-12-16 16:26:49.670,48.869873,,,Clear,,1,TWC,2019-12-16 16:42:21.682,2019-12-16 16:42:21.682,0,2.308606,11.0,89,UTC+0200,AumAWJiKT9,31c10ac6-1134-ff30-31d9-3d4151228125,com.sec.android.app.shealth,,,,18,74a0ca86-fb0c-3cf7-d68c-e4f7fd905873,
