com.samsung.shealth.stress,6188005,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2019-06-06 15:00:00.000,,39343731-9fe2-9c02-429a-43c756426a5d.binning_data.json,10011,2019-06-06 16:02:23.892,2019-06-06 16:02:23.892,57.0,0.0,6.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 15:59:59.999,39343731-9fe2-9c02-429a-43c756426a5d,
2019-06-22 21:00:00.000,,1d346a84-8adc-5bcb-4700-a6ea11b78baf.binning_data.json,10011,2019-06-22 22:09:28.372,2019-06-22 22:09:28.372,100.0,0.0,16.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-22 21:59:59.999,1d346a84-8adc-5bcb-4700-a6ea11b78baf,
2019-06-06 22:00:00.000,,5f604307-376d-574c-19e2-802491bf1f3b.binning_data.json,10011,2019-06-07 00:17:00.852,2019-06-07 00:17:00.852,0.0,0.0,0.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 22:59:59.999,5f604307-376d-574c-19e2-802491bf1f3b,
2019-06-23 10:00:00.000,,a6c0600c-3d24-3e6f-e798-968804fdc6af.binning_data.json,10011,2019-06-23 11:06:08.675,2019-06-23 11:06:08.675,100.0,0.0,9.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-23 10:59:59.999,a6c0600c-3d24-3e6f-e798-968804fdc6af,
2019-06-07 08:00:00.000,,7a18346c-76c2-1835-e728-ff21f118cfbb.binning_data.json,10011,2019-06-07 09:03:14.948,2019-06-07 08:38:19.192,97.0,0.0,7.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-07 08:59:59.999,7a18346c-76c2-1835-e728-ff21f118cfbb,
2019-06-23 16:00:00.000,,4b941f56-133f-20a3-71e6-345f1b4e57e0.binning_data.json,10011,2019-06-23 17:09:09.403,2019-06-23 16:09:46.002,100.0,0.0,54.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-23 16:59:59.999,4b941f56-133f-20a3-71e6-345f1b4e57e0,
2019-06-04 20:53:15.574,,,10000,2019-06-04 20:53:15.574,2019-06-04 20:53:15.574,0.0,0.0,0.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-04 20:53:15.574,d0f80136-310c-cb5f-6ab2-7316b7cbb153,
2019-06-07 14:00:00.000,,2ae87c63-f35a-6efc-5c1c-729b56067620.binning_data.json,10011,2019-06-07 15:07:05.121,2019-06-07 15:07:05.121,25.0,0.0,0.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-07 14:59:59.999,2ae87c63-f35a-6efc-5c1c-729b56067620,
2019-06-24 06:00:00.000,,f77a81d7-1976-b583-eb40-575c767f60ff.binning_data.json,10011,2019-06-24 07:05:50.547,2019-06-24 07:05:50.547,96.0,0.0,21.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-24 06:59:59.999,f77a81d7-1976-b583-eb40-575c767f60ff,
2019-06-05 08:00:00.000,,9faf09af-dc43-a088-0ef8-6dae6668eba0.binning_data.json,10011,2019-06-05 09:01:27.556,2019-06-05 09:01:27.556,100.0,0.0,34.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 08:59:59.999,9faf09af-dc43-a088-0ef8-6dae6668eba0,
