com.samsung.shealth.report,6188005,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Paris,1619388000000,2021-05-09 11:45:47.196,2021-05-04 11:10:15.973,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,8929f22b-150d-4a04-97fa-71e7e68738d7,8929f22b-150d-4a04-97fa-71e7e68738d7.compressed_content.json,
Europe/Paris,1619992800000,2021-05-16 11:10:23.176,2021-05-11 11:10:14.179,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,f03bcc0b-5f71-4f50-ae3d-1c17850d65bc,f03bcc0b-5f71-4f50-ae3d-1c17850d65bc.compressed_content.json,
Europe/Paris,1620597600000,2021-05-23 11:11:20.039,2021-05-17 11:47:44.428,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,9b126aeb-a1f2-4f3a-a6d2-182a08be35a8,9b126aeb-a1f2-4f3a-a6d2-182a08be35a8.compressed_content.json,
Europe/Paris,1618783200000,2021-05-02 12:19:11.551,2021-04-26 11:10:14.588,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,ee41beb2-a3f9-4988-adfe-305489188411,ee41beb2-a3f9-4988-adfe-305489188411.compressed_content.json,
Europe/Paris,1621202400000,2021-05-30 11:15:14.585,2021-05-24 11:11:01.432,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,3c1eacfb-ca74-44e7-a508-aaa37879dbc9,3c1eacfb-ca74-44e7-a508-aaa37879dbc9.compressed_content.json,
Europe/Paris,1623016800000,2021-06-20 11:10:34.906,2021-06-14 11:10:26.340,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,563e6f4b-d17f-40c3-b388-a3b763a2d2c6,563e6f4b-d17f-40c3-b388-a3b763a2d2c6.compressed_content.json,
Europe/Paris,1623621600000,2021-06-27 11:10:29.494,2021-06-21 11:10:24.168,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,099f11e4-868d-4814-9079-716a7629488d,099f11e4-868d-4814-9079-716a7629488d.compressed_content.json,
Europe/Paris,1624226400000,2021-07-04 11:10:38.263,2021-06-28 11:13:59.494,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,7d73d1c0-b585-41c8-a190-9eb4b6630d0d,7d73d1c0-b585-41c8-a190-9eb4b6630d0d.compressed_content.json,
Europe/Paris,1624831200000,2021-07-11 11:10:27.299,2021-07-05 11:26:38.282,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,a3e94f38-f3f5-49b3-a757-a7c7a7a3d12f,a3e94f38-f3f5-49b3-a757-a7c7a7a3d12f.compressed_content.json,
Europe/Paris,1622412000000,2021-06-11 11:10:27.690,2021-06-07 11:21:48.560,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,1f0afdb7-4fbd-458d-b283-9b065473d397,1f0afdb7-4fbd-458d-b283-9b065473d397.compressed_content.json,
Europe/Paris,1626645600000,2021-08-01 11:10:15.414,2021-07-27 11:19:26.124,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,de332003-22d4-4ee6-abd6-b425cec34cb9,de332003-22d4-4ee6-abd6-b425cec34cb9.compressed_content.json,
Europe/Paris,1627250400000,2021-08-08 11:10:16.650,2021-08-02 11:10:16.960,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,77bfa30d-e7ac-446d-96ff-33dc309128d7,77bfa30d-e7ac-446d-96ff-33dc309128d7.compressed_content.json,
